p	sp	200	2080		
a	1	11	503	178	11
a	1	13	182	597	32
a	1	21	511	113	9
a	1	62	599	148	8
a	1	72	109	540	43
a	1	190	536	133	9
a	1	196	512	140	7
a	2	3	107	596	57
a	2	14	128	599	42
a	2	22	571	142	7
a	2	73	512	197	12
a	2	81	541	157	9
a	2	88	577	183	16
a	2	193	181	524	32
a	2	200	140	573	39
a	3	30	599	126	10
a	3	76	561	183	11
a	3	82	108	570	54
a	3	84	509	188	11
a	3	94	125	549	42
a	3	104	143	558	32
a	3	113	517	134	10
a	3	173	590	195	12
a	3	185	513	110	7
a	3	200	126	597	38
a	4	3	185	500	45
a	4	11	187	562	40
a	4	19	516	187	12
a	4	20	509	194	14
a	4	39	177	579	39
a	4	47	550	116	10
a	4	57	540	126	9
a	4	79	200	567	31
a	4	80	178	560	31
a	4	107	140	522	34
a	4	175	178	506	30
a	4	197	101	564	32
a	5	30	517	191	10
a	5	40	129	541	34
a	5	54	545	110	8
a	5	58	517	132	8
a	5	78	196	508	33
a	5	97	105	529	35
a	5	101	580	199	11
a	5	114	555	189	18
a	5	116	518	120	7
a	5	120	511	145	9
a	5	145	572	146	9
a	5	177	600	183	9
a	6	35	125	586	43
a	6	67	540	136	10
a	6	69	157	569	47
a	6	102	592	144	8
a	6	141	192	569	40
a	6	149	125	566	56
a	6	163	528	184	13
a	7	13	175	534	33
a	7	56	503	170	13
a	7	198	189	551	29
a	8	32	589	192	12
a	8	37	122	507	27
a	8	40	548	115	7
a	8	77	185	550	28
a	8	86	509	138	12
a	8	103	118	582	49
a	8	113	513	106	7
a	8	181	595	160	12
a	9	15	552	118	12
a	9	66	104	548	36
a	9	79	130	582	41
a	9	83	502	159	8
a	9	108	505	138	7
a	9	149	592	180	13
a	9	196	587	142	10
a	10	47	555	171	11
a	10	50	143	545	49
a	10	51	565	195	15
a	10	56	588	111	7
a	10	92	120	509	35
a	10	93	577	140	10
a	10	194	511	139	8
a	11	66	133	521	36
a	11	71	142	528	41
a	11	86	595	131	9
a	11	103	599	123	11
a	11	116	600	100	7
a	11	136	600	117	11
a	11	155	115	536	44
a	11	186	195	560	50
a	12	14	139	557	30
a	12	15	186	521	37
a	12	41	161	565	54
a	12	50	137	530	38
a	12	63	165	538	33
a	12	66	557	121	8
a	12	81	185	570	43
a	12	98	161	532	36
a	12	151	510	184	10
a	12	160	536	177	10
a	13	31	184	517	30
a	13	57	574	162	9
a	13	69	574	157	11
a	13	75	152	556	39
a	13	95	123	517	34
a	13	118	500	110	6
a	13	128	144	569	40
a	13	133	579	112	7
a	13	138	514	145	7
a	13	166	115	529	37
a	13	171	168	528	51
a	13	191	183	586	38
a	14	6	580	165	13
a	14	21	176	591	41
a	14	23	557	114	11
a	14	51	115	504	41
a	14	75	193	579	42
a	14	79	104	500	29
a	14	80	515	154	12
a	14	85	183	599	33
a	14	86	522	175	9
a	14	106	511	160	11
a	14	113	535	170	10
a	14	118	148	544	30
a	15	32	584	161	13
a	15	62	161	524	38
a	15	63	198	573	34
a	15	64	541	169	13
a	15	89	131	577	38
a	15	90	530	131	10
a	15	122	526	152	12
a	15	129	200	528	41
a	15	140	576	104	7
a	15	177	551	123	8
a	15	190	117	523	27
a	15	196	111	600	60
a	16	9	172	544	41
a	16	11	572	173	13
a	16	35	528	165	12
a	16	47	163	555	36
a	16	61	154	558	39
a	16	69	161	510	27
a	16	72	146	568	40
a	16	81	554	190	16
a	16	83	165	586	50
a	16	99	162	583	32
a	16	107	116	542	42
a	16	124	531	167	11
a	16	130	162	551	39
a	16	174	188	516	51
a	16	187	503	110	6
a	17	6	156	598	35
a	17	26	174	508	34
a	17	41	531	117	9
a	17	78	194	520	28
a	17	79	158	568	31
a	17	91	152	519	39
a	17	103	531	149	13
a	17	112	502	146	10
a	17	123	546	114	8
a	17	143	595	105	8
a	17	160	505	140	9
a	17	187	527	187	16
a	17	188	155	552	50
a	18	1	139	571	31
a	18	3	548	151	10
a	18	17	128	514	39
a	18	32	564	139	9
a	18	66	125	517	40
a	18	81	120	548	39
a	18	85	197	593	44
a	18	130	165	533	30
a	18	135	139	575	57
a	18	139	103	510	45
a	18	194	120	533	30
a	19	26	135	507	34
a	19	52	519	154	10
a	19	65	599	193	10
a	19	78	532	106	7
a	19	89	528	155	13
a	19	92	588	197	13
